name_id,name,spacecraft_id
220,CHOMPTT,1768
221,CICERO 10,600
222,CICERO 3,1592
223,CICERO 6,476
224,CICERO 7,1671
225,CICERO 8,611
226,"CICERO-2 1 (VEH 1, Vehicle 1, Community Initiative for Continuous Earth Remote Observation, OP1, TYVAK-0820)",2106
227,"CICERO-2 2 (VEH 2, Vehicle 2, Community Initiative for Continuous Earth Remote Observation, OP2, TYVAK-0821)",2111
228,CINEMA,1411
229,CINEMA-2 (KHUSAT-2),1424
230,CINEMA-3 (KHUSAT-2),1425
231,CIRBE,2249
232,CIRIS,763
233,"CNCE1 (Cubesat Networked Communications Experiment, CNCE Block 1)",1024
234,"CNCE3 (Cubesat Networked Communications Experiment, CNCE Block 1)",1025
235,CNCE4,2093
236,CNCE5,2094
237,CNUSAIL-1,1683
238,COMPASS 2,481
239,COMPASS-1,34
240,CONNECTA IOT-1,2566
241,CONNECTA IOT-10,2764
242,CONNECTA IOT-11,2765
243,CONNECTA IOT-12,2763
244,CONNECTA IOT-2,2523
245,CONNECTA IOT-3,2569
246,CONNECTA IOT-5,2694
247,CONNECTA IOT-6,2698
248,CONNECTA IOT-7,2703
249,CONNECTA IOT-8,2691
250,CONNECTA IOT-9,2774
251,CONNECTA T1.1,2109
252,CONNECTA T1.2,2181
253,CONNECTA T2.1,2226
254,CONNECTA T3.1-1,2322
255,CONNECTA T3.1-2,2323
256,CONNECTA T3.2,2390
257,CONTECSAT-1,2442
258,COPPER,107
259,COSMOS 2548,869
260,CP10 (EXOCUBE),247
261,CP11 (ISX),1769
262,CP12 (EXOCUBE 2),875
263,CP3,28
264,CP4,27
265,CP5,1410
266,CP6,40
267,CP7 (DAVE),588
268,CP8 (IPEX),138
269,CP9 (LEO),1803
270,CPOD FLT1 (TYVAK-0032),2098
271,CPOD FLT2 (TYVAK-0033),2102
272,CROCUBE,2635
273,CSC-1-1,2315
274,CSC-1-2,2316
275,CSC-2,2314
276,CSIM-FD,1712
277,CSSWE,1408
278,CSTB 1,29
279,CSTP 1.1 (STC-1.1),1304
280,CSTP 1.2 (STC-1.2),1305
281,CTC-0,2631
282,CTIM,1201
283,CUAVA-2,2526
284,CUBEBEL 2 (EU11S),1307
285,CUBEBEL-1 (BSUSAT-1),593
286,CUBEBUG-1 (CAPITAN BETO),92
287,CUBEBUG-2 (LO-74),1417
288,CUBEL,962
