id,norad_id,eccentricity,inclination,mean_anomaly,perigee_arg,asend_node_long,mean_motion,mean_motion_1der,mean_motion_2der,rad_pressure_coef,event_at,period,semi_major_axis,altitude,perigee_altitude,apogee_altitude
7357,42997,0.0012819,97.468,204.4697,155.715,357.4732,15.30308681,0.00057152,0.0,0.00097239,1661893014.9999976,94.0986624384182,6853.025054832024,482.02505483202367,473.24016201423456,490.8099476498128
7358,42997,0.0012796,97.4678,205.8195,154.3682,357.8679,15.30333805,0.00061104,0.0,0.0010384,1661926911.9999647,94.09711758932228,6852.950049029574,481.9500490295741,473.1810141468359,490.7190839123122
7359,42997,0.0012832,97.4675,209.4486,150.7476,358.9197,15.30390903,0.00057164,0.0,0.00097014,1662017302.0000086,94.0936068802547,6852.779594899498,481.7795948994981,472.986108123323,490.5730816756732
7360,42997,0.0012832,97.4675,209.4486,150.7476,358.9197,15.30390903,0.00057164,0.0,0.00097014,1662017302.0000086,94.0936068802547,6852.779594899498,481.7795948994981,472.986108123323,490.5730816756732
7361,42997,0.0012948,97.4667,210.8565,149.3434,359.445,15.30416625,0.0004651,0.0,0.00078971,1662062496.0000155,94.09202543131026,6852.702810714231,481.7028107142314,472.8299311149185,490.5756903135434
7362,42997,0.0012884,97.4667,212.3732,147.8298,359.9054,15.30437383,0.00045736,0.0,0.00077617,1662102040.000011,94.09074921949944,6852.640846412135,481.64084641213503,472.8119039456178,490.46978887865225
7363,42997,0.0012855,97.4668,213.0856,147.1187,0.1684,15.30456395,0.00064354,0.0,0.0010891,1662124636.0,94.08958038298113,6852.584095289642,481.5840952896424,472.7750984351469,490.3930921441379
7364,42997,0.0012817,97.4669,214.0376,146.1685,0.4972,15.30470226,0.00045976,0.0,0.00077942,1662152881.0000062,94.08873008680143,6852.542810272893,481.5428102728929,472.7599061529654,490.3257143928204
7365,42997,0.0012743,97.4667,215.4546,144.754,0.8918,15.30501013,0.00071586,0.0,0.001209,1662186773.999995,94.08683743223372,6852.450914464042,481.4509144640424,472.7188362637417,490.1829926643432
7366,42997,0.0012743,97.4667,215.4546,144.754,0.8918,15.30501013,0.00071586,0.0,0.001209,1662186773.999995,94.08683743223372,6852.450914464042,481.4509144640424,472.7188362637417,490.1829926643432
7367,42997,0.0012786,97.4666,217.5091,142.704,1.4831,15.30546691,0.00080362,0.0,0.0013542,1662237613.000001,94.08402948224727,6852.314576334389,481.31457633438913,472.55320691708766,490.0759457516906
7368,42997,0.0012776,97.4666,219.2605,140.956,1.9437,15.30584169,0.00078948,0.0,0.0013289999999999,1662277154.0000126,94.0817257335686,6852.20271834842,481.2027183484197,472.4483441554576,489.95709254138274
7369,42997,0.0012776,97.4666,219.2605,140.956,1.9437,15.30584169,0.00078948,0.0,0.0013289999999999,1662277154.0000126,94.0817257335686,6852.20271834842,481.2027183484197,472.4483441554576,489.95709254138274
7370,42997,0.0012778,97.4666,220.177,140.0413,2.2066,15.30614679,0.00095304,0.0,0.0016006,1662299748.0000124,94.07985038669553,6852.111660639229,481.1116606392288,472.3560323592637,489.8672889191939
7371,42997,0.0012778,97.4666,220.177,140.0413,2.2066,15.30614679,0.00095304,0.0,0.0016006,1662299748.0000124,94.07985038669553,6852.111660639229,481.1116606392288,472.3560323592637,489.8672889191939
7372,42997,0.0012676,97.4668,222.4625,137.7595,2.9298,15.30697271,0.0010577,0.0,0.0017704,1662361879.0000052,94.0747741099226,6851.865178330615,480.865178330615,472.1797540305624,489.5506026306675
7373,42997,0.0012644,97.4669,223.2718,136.9514,3.193,15.30721717,0.0009312,0.0,0.0015591,1662384471.0000155,94.07327171278384,6851.792227495232,480.7922274952316,472.1288214027864,489.455633587676
7374,42997,0.0012619,97.4669,224.1121,136.1124,3.4559,15.30749204,0.00094048,0.0,0.0015731999999999,1662407062.9999862,94.07158247981688,6851.710204140868,480.710204140868,472.0640310342624,489.3563772474736
7375,42997,0.0012549,97.4671,225.3836,134.8426,3.9158,15.30793849,0.00089412,0.0,0.0014942,1662446597.99999,94.06883891914566,6851.5769852060575,480.5769852060576,471.9789412473229,489.17502916479225
7376,42997,0.0012549,97.4671,225.3836,134.8426,3.9158,15.30793849,0.00089412,0.0,0.0014942,1662446597.99999,94.06883891914566,6851.5769852060575,480.5769852060576,471.9789412473229,489.17502916479225
7377,42997,0.0012522,97.4674,229.2204,131.0122,4.9683,15.3088365,0.00085654,0.0,0.0014279,1662536959.00003,94.0633208800682,6851.30904214353,480.30904214353,471.7298329609576,488.8882513261015
7378,42997,0.0012522,97.4674,229.2204,131.0122,4.9683,15.3088365,0.00085654,0.0,0.0014279,1662536959.00003,94.0633208800682,6851.30904214353,480.30904214353,471.7298329609576,488.8882513261015
7379,42997,0.0012456,97.4678,233.4107,126.8278,6.218,15.30992159,0.00090746,0.0,0.0015071,1662644257.0000155,94.05665414645668,6850.985314173834,479.985314173834,471.4517268664995,488.5189014811695
7380,42997,0.0012456,97.4678,233.4107,126.8278,6.218,15.30992159,0.00090746,0.0,0.0015071,1662644257.0000155,94.05665414645668,6850.985314173834,479.985314173834,471.4517268664995,488.5189014811695
7381,42997,0.0012335,97.4681,235.8005,124.4404,6.9416,15.31061349,0.00097404,0.0,0.0016134,1662706373.0000093,94.05240364408154,6850.778911278007,479.7789112780065,471.3284754909455,488.2293470650684
7382,42997,0.001228,97.4683,237.8449,122.3981,7.5338,15.31114858,0.00089164,0.0,0.0014754999999999,1662757192.9999576,94.04911672537634,6850.61929753335,479.6192975333497,471.20673703597913,488.0318580307203
7383,42997,0.0012239,97.4685,239.2856,120.959,7.9286,15.3115089,0.00086374,0.0,0.0014280999999999,1662791071.999982,94.0469035027632,6850.5118217409945,479.5118217409945,471.12748032236505,487.896163159624
7384,42997,0.0012233,97.4689,241.4336,118.8135,8.5208,15.3121005,0.00093336,0.0,0.0015395,1662841890.0000217,94.04326989624973,6850.335369185651,479.33536918565096,470.95535392852616,487.7153844427749
7385,42997,0.0012233,97.4689,241.4336,118.8135,8.5208,15.3121005,0.00093336,0.0,0.0015395,1662841890.0000217,94.04326989624973,6850.335369185651,479.33536918565096,470.95535392852616,487.7153844427749
7386,42997,0.0012207,97.4688,243.0354,117.2132,8.9815,15.31258746,0.00097848,0.0,0.0016109,1662881412.0000153,94.04027919916284,6850.190135425039,479.1901354250385,470.82810832672567,487.5521625233514
7387,42997,0.0012151,97.4688,244.9398,115.3103,9.508,15.31313423,0.00097124,0.0,0.0015964,1662926580.0000026,94.03692140168748,6850.027072758539,479.02707275853936,470.7036048624304,487.3505406546483
7388,42997,0.0012151,97.4688,244.9398,115.3103,9.508,15.31313423,0.00097124,0.0,0.0015964,1662926580.0000026,94.03692140168748,6850.027072758539,479.02707275853936,470.7036048624304,487.3505406546483
7389,42997,0.0012071,97.4687,246.6516,113.5994,9.9687,15.31364408,0.00106028,0.0,0.0017388,1662966100.0000074,94.03379055156935,6849.875029449326,478.87502944932567,470.606545301277,487.1435135973743
7390,42997,0.0012071,97.4687,246.6516,113.5994,9.9687,15.31364408,0.00106028,0.0,0.0017388,1662966100.0000074,94.03379055156935,6849.875029449326,478.87502944932567,470.606545301277,487.1435135973743
7391,42997,0.0011837,97.4684,251.5089,108.7437,11.285,15.31514624,0.00111536,0.0,0.00182,1663079007.9999804,94.0245674075914,6849.427116586822,478.4271165868222,470.319449708918,486.5347834647255
